Subject Name,Scientific Name,Num. of Counties,Habit
sweet vernalgrass,Anthoxanthum odoratum L.,682,Grass or Grasslike
sweet vernalgrass,Anthoxanthum odoratum ssp. odoratum L.,0,Grass or Grasslike
bur chervil,Anthriscus caucalis M. Bieb.,56,Forbs/Herbs
wild chervil,Anthriscus sylvestris (L.) Hoffmann,202,Forbs/Herbs
coral vine,Antigonon leptopus Hook. & Arn.,69,Vines
interrupted windgrass,Apera interrupta (L.) Beauv.,98,Grass or Grasslike
wild celery,Apium graveolens L.,93,Forbs/Herbs
Japanese angelica tree,Aralia elata (Miq.) Seem,83,Shrub or Subshrub
white bladderflower,Araujia sericifera Brot.,26,Vines
burdock,Arctium,88,Forbs/Herbs
great burdock,Arctium lappa L.,316,Forbs/Herbs
"common burdock, lesser burdock",Arctium minus Bernh.,1417,Forbs/Herbs
capeweed,Arctotheca calendula (L.) Levyns,13,Forbs/Herbs
creeping capeweed,Arctotheca prostrata (Salisb.) Britten,17,Forbs/Herbs
coral ardisia,Ardisia crenata Sims,116,Shrub or Subshrub
shoebutton ardisia,Ardisia elliptica Thunb,26,Hardwood Trees
Japanese ardisia,Ardisia japonica (Thunb.) Blume,5,Shrub or Subshrub
thymeleaf sandwort,Arenaria serpyllifolia L.,1107,Forbs/Herbs
elegant dutchman's pipe,Aristolochia elegans Mast.,19,Vines
tall oatgrass,Arrhenatherum elatius (L.) Beauv. ex J.& K. Presl,647,Grass or Grasslike
tall oatgrass,Arrhenatherum elatius var. elatius (L.) P. Beauv. ex J. Presl & C. Presl,1,Grass or Grasslike
absinth wormwood,Artemisia absinthium L.,495,Shrub or Subshrub
annual wormwood,Artemisia annua L.,374,Forbs/Herbs
beach wormwood,Artemisia stelleriana Bess.,69,Forbs/Herbs
mugwort,Artemisia vulgaris L.,679,Forbs/Herbs
common wormwood,Artemisia vulgaris var. vulgaris L.,54,Forbs/Herbs
"small carpetgrass, joint-head grass",Arthraxon hispidus (Thunb.) Makino,463,Grass or Grasslike
hairy jointgrass,Arthraxon hispidus var. hispidus (Thunb.) Makino,4,Grass or Grasslike
Italian arum,Arum italicum P. Mill.,91,Forbs/Herbs
bamboo orchid,Arundina graminifolia (D. Don) Hochr.,4,Forbs/Herbs
giant reed,Arundo donax L.,699,Grass or Grasslike
bloodflower milkweed,Asclepias curassavica L.,89,Forbs/Herbs
showy milkweed,Asclepias speciosa Torr,23,Forbs/Herbs
Sprenger's asparagus fern,Asparagus aethiopicus L.,46,Shrub or Subshrub
African asparagus fern,Asparagus asparagoides (L.) Druce,20,Vines
common asparagus fern,Asparagus setaceus (Kunth) Jessop,20,Forbs/Herbs
onionweed,Asphodelus fistulosus Linnaeus,18,Forbs/Herbs
Chinese violet,Asystasia gangetica (L.) T. Anders,16,Vines
Australian saltbush,Atriplex semibaccata R. Br.,95,Shrub or Subshrub
peregrine saltbush,Atriplex suberecta I. Verd.,36,Forbs/Herbs
Japanese laurel,Aucuba japonica Thunb.,3,Shrub or Subshrub
