Subject Name,Scientific Name,Num. of Counties,Habit
dodder (nonnative),Cuscuta (non-native) L.,3,Vines
smallseed alfalfa dodder,Cuscuta approximata Bab.,72,Vines
clover dodder,Cuscuta epithymum (L.) L.,113,Vines
Japanese dodder,Cuscuta japonica Choisy,18,Vines
little ironweed,Cyanthillium cinereum (L.) H.E. Robins.,22,Forbs/Herbs
Cooper's cyathea,Cyathea cooperi (Hook. ex F. Muell.) Domin,5,Hardwood Trees
Kenilworth ivy,"Cymbalaria muralis P.G. Gaertn., B. Mey. & Scherb.",35,Forbs/Herbs
cardoon,Cynara cardunculus L.,56,Forbs/Herbs
bermudagrass,Cynodon dactylon (L.) Pers,1415,Grass or Grasslike
houndstongue,Cynoglossum officinale L.,937,Forbs/Herbs
hedgehog dogtailgrass,Cynosurus echinatus L.,130,Grass or Grasslike
Cuban bulrush,Cyperus blepharoleptos Steud.,1,Grass or Grasslike
false green kyllinga,Cyperus brevifolioides Thieret & Delahouss,117,Grass or Grasslike
smallflower umbrella sedge,Cyperus difformis L.,88,Grass or Grasslike
deeprooted sedge,Cyperus entrerianus Boeckl.,61,Aquatic Plants
yellow nutsedge,Cyperus esculentus L.,1684,Grass or Grasslike
haspan flatsedge,Cyperus haspan L.,270,Grass or Grasslike
umbrella plant,Cyperus involucratus Rottb,106,Grass or Grasslike
rice flatsedge,Cyperus iria L.,493,Grass or Grasslike
Asian flatsedge,Cyperus microiria Steud.,21,Grass or Grasslike
miniature flatsedge,Cyperus prolifer Lam,18,Grass or Grasslike
purple nutsedge,Cyperus rotundus L.,566,Grass or Grasslike
Japanese netvein hollyfern,Cyrtomium falcatum (L. f.) C. Presl,47,Forbs/Herbs
white spanishbroom,Cytisus multiflorus (L'Hér.) Sweet,0,Shrub or Subshrub
tagasaste,Cytisus proliferus L.f.,0,Conifer Trees
Scotch broom,Cytisus scoparius (L.) Link,325,Shrub or Subshrub
striated broom,Cytisus striatus (Hill) Rothm,17,Shrub or Subshrub
orchardgrass,Dactylis glomerata L.,1744,Grass or Grasslike
orchardgrass,Dactylis glomerata ssp. glomerata L.,2,Grass or Grasslike
crowfootgrass,Dactyloctenium aegyptium (L.) Willd,484,Grass or Grasslike
Indian rosewood,Dalbergia sissoo Roxb. ex DC.,19,Hardwood Trees
spurgecreeper,Dalechampia scandens L.,1,Forbs/Herbs
spurgelaurel,Daphne laureola L.,29,Hardwood Trees
February daphne,Daphne mezereum L.,62,Shrub or Subshrub
sacred datura,Datura inoxia Mill.,2,Shrub or Subshrub
jimsonweed,Datura stramonium L.,1340,Forbs/Herbs
"Queen Anne's lace, wild carrot",Daucus carota L.,1909,Forbs/Herbs
"Cape-ivy, cape ivy",Delairea odorata Lem,28,Forbs/Herbs
serpent fern,Deparia kaalaana (Copeland) M. Kato,0,Forbs/Herbs
Japanese false spleenwort,Deparia petersenii (Kunze) M. Kato,39,Forbs/Herbs
flixweed,Descurainia sophia (L.) Webb ex Prantl,852,Forbs/Herbs
creeping beggarweed,Desmodium incanum DC.,63,Shrub or Subshrub
Hawai'i ticktrefoil,Desmodium sandwicense E. Mey.,4,Shrub or Subshrub
threeflower beggarweed,Desmodium triflorum (L.) DC.,44,Forbs/Herbs
fuzzy pride-of-Rochester,Deutzia scabra Thunb.,62,Shrub or Subshrub
Deptford pink,Dianthus armeria L.,1267,Forbs/Herbs
"didymo, rock snot",Didymosphenia geminata (Lyngbye) M. Schmidt,11,Aquatic Plants
Grecian foxglove,Digitalis lanata Ehrh.,51,Forbs/Herbs
foxglove,Digitalis purpurea L.,212,Forbs/Herbs
southern crabgrass,Digitaria ciliaris (Retz.) Koel,820,Grass or Grasslike
pangolagrass,Digitaria eriantha Steud.,37,Grass or Grasslike
sourgrass,Digitaria insularis (L.) Mez ex Ekman,49,Grass or Grasslike
large crabgrass,Digitaria sanguinalis (L.) Scop,1732,Grass or Grasslike
East Indian crabgrass,Digitaria setigera Roth ex Roemer & J.A. Schultes,6,Grass or Grasslike
violet crabgrass,Digitaria violascens Link,246,Grass or Grasslike
winged yam,Dioscorea alata L.,42,Vines
air-potato,Dioscorea bulbifera L.,136,Vines
Chinese yam,Dioscorea polystachya Turcz.,497,Vines
okie bean,Dipogon lignosus (L.) Verdc.,2,Forbs/Herbs
common teasel,Dipsacus fullonum L.,928,Forbs/Herbs
cutleaf teasel,Dipsacus laciniatus L.,380,Forbs/Herbs
Fuller's teasel,Dipsacus sativus (L.) Honckeny,36,Forbs/Herbs
stinkwort,Dittrichia graveolens (L.) W. Greuter,44,Forbs/Herbs
false yellowhead,Dittrichia viscosa (L.) Greuter,0,Forbs/Herbs
spring whitlowgrass,Draba verna L.,839,Forbs/Herbs
heartleaf drymary,Drymaria cordata (L.) Willd. ex J.A. Schultes,67,Forbs/Herbs
Autumn fern,Dryopteris erythrosora (D.C.Eaton) Kuntze,8,Forbs/Herbs
mexicantea,Dysphania ambrosioides (L.) Mosyakin & Clemants,1166,Forbs/Herbs
clammy goosefoot,Dysphania pumilio (R. Br.) Mosyakin & Clemants,169,Forbs/Herbs
junglerice,Echinochloa colona (L.) Link,664,Grass or Grasslike
barnyardgrass,Echinochloa crus-galli (L.) Beauv,1970,Grass or Grasslike
pride of Madeira,Echium candicans L. f.,16,Shrub or Subshrub
salvation jane,Echium plantagineum L.,5,Forbs/Herbs
"common viper's bugloss, blueweed",Echium vulgare L.,625,Forbs/Herbs
eclipta,Eclipta prostrata (L.) L.,1275,Forbs/Herbs
"Brazilian waterweed, Brazilian elodea",Egeria densa Planch.,415,Aquatic Plants
perennial veldtgrass,Ehrharta calycina Sm.,20,Grass or Grasslike
panic veldtgrass,Ehrharta erecta Lam.,23,Grass or Grasslike
longflowered veldtgrass,Ehrharta longiflora Sm.,4,Grass or Grasslike
Russian olive,Elaeagnus angustifolia L.,852,Shrub or Subshrub
cherry silverberry,Elaeagnus multiflora Thunb.,22,Shrub or Subshrub
thorny olive,Elaeagnus pungens Thunb.,275,Shrub or Subshrub
autumn olive,Elaeagnus umbellata Thunb.,1274,Shrub or Subshrub
goosegrass,Eleusine indica (L.) Gaertn.,1609,Grass or Grasslike
five-leaf aralia,Eleutherococcus sieboldianus (Makino.) Koidz.,34,Shrub or Subshrub
crested latesummer mint,Elsholtzia ciliata (Thunb.) Hyl.,31,Forbs/Herbs
quackgrass,Elymus repens (L.) Gould,1399,Grass or Grasslike
Cupid's-shaving-brush,Emilia fosbergii D.H. Nicols.,53,Forbs/Herbs
lilac tasselflower,Emilia sonchifolia var. sonchifolia (L.) DC.,35,Forbs/Herbs
Epidendrum ×obrienianum,Epidendrum x obrienianum Rolfe [evectum × ibaguense],4,Forbs/Herbs
aboriginal willowherb,Epilobium billardierianum ssp. cinereum (A. Rich.) P.H. Raven & Engelhorn,6,Forbs/Herbs
hairy willowherb,Epilobium hirsutum L.,244,Forbs/Herbs
helleborine,Epipactis helleborine (L.) Crantz,412,Forbs/Herbs
centipede tongavine,Epipremnum pinnatum (L.) Engl,26,Vines
golden pothos,Epipremnum pinnatum cv. aureum (L.) Engl,2,Vines
field horsetail,Equisetum arvense L,1414,Forbs/Herbs
horsetail,Equisetum L.,4,Forbs/Herbs
giant horsetail,Equisetum telmateia Ehrh.,76,Forbs/Herbs
stinkgrass,Eragrostis cilianensis (All.) Vign. ex Janchen,1578,Grass or Grasslike
Cuming's lovegrass,Eragrostis cumingii Steud.,20,Grass or Grasslike
weeping lovegrass,Eragrostis curvula (Schrad.) Nees,383,Grass or Grasslike
Lehmann lovegrass,Eragrostis lehmanniana Nees,73,Grass or Grasslike
American burnweed,Erechtites hieraciifolius (L.) Raf. ex DC.,1490,Forbs/Herbs
tropical burnweed,Erechtites valerianifolius (Spreng.) DC.,4,Forbs/Herbs
Scots heath,Erica cinerea L.,1,Shrub or Subshrub
Spanish heath,Erica lusitanica K. Rudolphi,25,Shrub or Subshrub
crossleaf heath,Erica tetralix L.,11,Shrub or Subshrub
Argentine fleabane,Erigeron bonariensis L.,212,Forbs/Herbs
Canadian horseweed,Erigeron canadensis L.,2543,Forbs/Herbs
tropical cupgrass,Eriochloa fatmensis (Hochst. & Steud.) W.D. Clayton,2,Grass or Grasslike
redstem filaree,Erodium cicutarium (L.) L'Hér. ex Ait.,1023,Forbs/Herbs
Indian coralbean,Erythrina variegata L.,1,Hardwood Trees
river redgum,Eucalyptus camaldulensis Dehnhardt,28,Hardwood Trees
sugargum,Eucalyptus cladocalyx F. Muell.,3,Hardwood Trees
Tasmanian bluegum,Eucalyptus globulus Labill.,35,Hardwood Trees
redbox,Eucalyptus polyanthemos Schauer,9,Hardwood Trees
swampmahogany,Eucalyptus robusta Sm.,13,Hardwood Trees
black peppermint,Eucalyptus salicifolia (Sol.) Cav.,2,Hardwood Trees
forest redgum,Eucalyptus tereticornis Sm.,18,Hardwood Trees
father-and-child plant,Euchiton japonicus (Thunb.) A. Anderb.,10,Forbs/Herbs
Surinam cherry,Eugenia uniflora L.,30,Shrub or Subshrub
Eulophia ground orchid,Eulophia graminea Lindl.,35,Forbs/Herbs
winged burning bush,Euonymus alatus (Thunb.) Sieb.,633,Shrub or Subshrub
European spindletree,Euonymus europaeus L.,155,Shrub or Subshrub
winter creeper,Euonymus fortunei (Turcz.) Hand.-Maz.,529,Vines
cypress spurge,Euphorbia cyparissias L.,917,Forbs/Herbs
leafy spurge,Euphorbia esula var. esula L.,96,Forbs/Herbs
moleplant,Euphorbia lathyris L.,42,Forbs/Herbs
spotted spurge,Euphorbia maculata (L.) Small,2087,Forbs/Herbs
myrtle spurge,Euphorbia myrsinites L,124,Forbs/Herbs
eggleaf spurge,Euphorbia oblongata Griseb,47,Forbs/Herbs
petty spurge,Euphorbia peplus L.,211,Forbs/Herbs
poinsettia,Euphorbia pulcherrima Willd. ex Klotzsch,4,Hardwood Trees
Geraldton carnation weed,Euphorbia terracina L.,10,Forbs/Herbs
spurge,Euphorbia tommasiniana Bertol.,33,Forbs/Herbs
leafy spurge,Euphorbia virgata Waldst. & Kit.,1070,Forbs/Herbs
hawk's eye,Euryops multifidus (Thunb.) DC.,5,Shrub or Subshrub
common pearlbrush,Exochorda racemosa (Lindl.) Rehd.,29,Shrub or Subshrub
Tartary buckwheat,Fagopyrum tataricum (L.) Gaertn,0,Forbs/Herbs
peacocksplume,Falcataria moluccana (Miquel) Barneby & Grimes,4,Hardwood Trees
wild buckwheat,Fallopia convolvulus L.,1524,Vines
mulberryweed,Fatoua villosa (Thunb.) Nakai,180,Forbs/Herbs
tall fescue,Festuca arundinacea Schreb.,1492,Grass or Grasslike
meadow fescue,Festuca pratensis Huds.,1365,Grass or Grasslike
red fescue,Festuca rubra L.,648,Grass or Grasslike
sheep fescue,Festuca trachyphylla (Hack.) Krajina nom. illeg.,360,Grass or Grasslike
"lesser celandine, fig buttercup",Ficaria verna Huds.,339,Forbs/Herbs
council tree,Ficus altissima Blume,7,Hardwood Trees
edible fig,Ficus carica L.,151,Hardwood Trees
Indian rubberplant,Ficus elastica Roxb.,3,Hardwood Trees
Chinese banyan,Ficus microcarpa L. f.,22,Hardwood Trees
queen-of-the-meadow,Filipendula ulmaria (L.) Maxim.,97,Forbs/Herbs
Chinese parasoltree,Firmiana simplex (L.) W. Wight,102,Shrub or Subshrub
governor's plum,Flacourtia indica (Burm. f.) Merr,6,Shrub or Subshrub
Queensland maple,Flindersia brayleyana F. Muell.,4,Hardwood Trees
fennel,Foeniculum vulgare P. Mill.,308,Forbs/Herbs
beach strawberry,Fragaria chiloensis (L.) P. Mill.,57,Forbs/Herbs
woodland strawberry,Fragaria vesca ssp. vesca L.,141,Forbs/Herbs
glossy buckthorn,Frangula alnus Mill.,461,Shrub or Subshrub
shamel ash,Fraxinus uhdei (Wenzig) Lingelsh,10,Hardwood Trees
slender snakecotton,Froelichia gracilis (Hook.) Moq.,646,Forbs/Herbs
Mauritius hemp,Furcraea foetida (L.) Haw,7,Shrub or Subshrub
goatsrue,Galega officinalis L.,39,Forbs/Herbs
green galenia,Galenia pubescens (Eckl. & Zeyh.) Druce,2,Forbs/Herbs
common hempnettle,Galeopsis tetrahit L.,276,Forbs/Herbs
smallflower galinsoga,Galinsoga parviflora Cav.,263,Forbs/Herbs
hairy galinsoga,Galinsoga quadriradiata Cav,878,Forbs/Herbs
white bedstraw,Galium album Mill.,0,Forbs/Herbs
catchweed bedstraw,Galium aparine L.,610,Forbs/Herbs
smooth bedstraw,Galium mollugo L.,423,Forbs/Herbs
sweetscented bedstraw,Galium odoratum (L.) Scop.,41,Forbs/Herbs
yellow bedstraw,Galium verum L.,316,Forbs/Herbs
purple cudweed,Gamochaeta purpurea (L.) Cabrera,1100,Forbs/Herbs
blue lawngrass,Garnotia stricta Brongn.,4,Grass or Grasslike
nit grass,Gastridium phleoides (Nees & Meyen) C.E. Hubbard,65,Grass or Grasslike
treasureflower,Gazania linearis (Thunb.) Druce,15,Forbs/Herbs
Mediterranean broom,Genista linifolia L.,6,Shrub or Subshrub
French broom,Genista monspessulana (L.) L. Johnson,54,Shrub or Subshrub
Dyer's greenweed,Genista tinctoria L.,30,Shrub or Subshrub
longstalk cranesbill,Geranium columbinum L.,183,Forbs/Herbs
cutleaf geranium,Geranium dissectum L.,344,Forbs/Herbs
Australasian geranium,Geranium homeanum Turcz.,4,Forbs/Herbs
shining geranium,Geranium lucidum L.,34,Forbs/Herbs
dovefoot geranium,Geranium molle L.,81,Forbs/Herbs
little-robin,Geranium purpureum Vill.,13,Forbs/Herbs
herb-robert,Geranium robertianum L.,335,Forbs/Herbs
Thunberg's geranium,Geranium thunbergii Sieb. & Zucc. ex Lindl. & Paxton,15,Forbs/Herbs
herb bennet,Geum urbanum L.,46,Forbs/Herbs
bluehead gilia,Gilia capitata Sims,107,Forbs/Herbs
yellow hornpoppy,Glaucium flavum Crantz,21,Forbs/Herbs
crowndaisy,Glebionis coronaria (L.) Tzvelev,34,Forbs/Herbs
ground ivy,Glechoma hederacea L.,1449,Forbs/Herbs
mudmat,Glossostigma cleistanthum W.R. Barker,12,Forbs/Herbs
waxy mannagrass,Glyceria declinata Brébiss.,44,Grass or Grasslike
rough mannagrass,Glyceria maxima (Hartman) Holmb.,50,Aquatic Plants
low cudweed,Gnaphalium uliginosum L.,405,Forbs/Herbs
balloon plant,Gomphocarpus physocarpus Meyer,5,Forbs/Herbs
kahiliflower,Grevillea banksii R. Br.,4,Hardwood Trees
silkoak,Grevillea robusta A. Cunningham ex R. Br.,22,Hardwood Trees
Chilean gunnera,Gunnera tinctoria (Molina) Mirb.,2,Forbs/Herbs
babysbreath,Gypsophila paniculata L.,271,Forbs/Herbs
garden baby's-breath,Gypsophila scorzonerifolia Ser.,34,Forbs/Herbs
bloodwoodtree,Haematoxylum campechianum L.,2,Hardwood Trees
"halogeton, saltlover",Halogeton glomeratus (Bieb.) C.A. Mey.,136,Forbs/Herbs
Algerian ivy,Hedera canariensis Willd.,17,Vines
English ivy,Hedera helix L.,845,Vines
Atlantic ivy,Hedera hibernica (Kirchn.) Bean.,10,Vines
ivy,Hedera L.,184,Vines
white garland-lily,Hedychium coronarium Koenig,25,Forbs/Herbs
cream garland-lily,Hedychium flavescens Carey ex Roscoe,5,Forbs/Herbs
Kahila garland-lily,Hedychium gardnerianum Shepard ex Ker-Gawl.,6,Forbs/Herbs
Texas blueweed,Helianthus ciliaris DC.,147,Forbs/Herbs
prairie sunflower,Helianthus petiolaris Nutt.,710,Forbs/Herbs
Jerusalem artichoke,Helianthus tuberosus L.,0,Forbs/Herbs
strawflower,Helichrysum petiolare Hilliard & Burtt,7,Shrub or Subshrub
white moho,Heliocarpus popayanensis Kunth,4,Hardwood Trees
clasping heliotrope,Heliotropium amplexicaule L.,18,Forbs/Herbs
bristly oxtongue,Helminthotheca echioides (L.) Holub,61,Forbs/Herbs
limpograss,Hemarthria altissima (Poir.) Stapf & C.E. Hubbard,53,Grass or Grasslike
tawny daylily,Hemerocallis fulva (L.) L.,1120,Forbs/Herbs
yellow daylily,Hemerocallis lilioasphodelus L.,78,Forbs/Herbs
giant hogweed,Heracleum mantegazzianum Sommier & Levier,302,Forbs/Herbs
dames rocket,Hesperis matronalis L.,1225,Forbs/Herbs
pearlflower,Heterocentron subtriplinervium (Link & Otto) A. Braun & Bouché,5,Shrub or Subshrub
Beechey's withe,Heteropterys brachiata (L.)DC.,3,Vines
telegraph weed,Heterotheca grandiflora Nutt.,50,Forbs/Herbs
rose of Sharon,Hibiscus syriacus L.,371,Hardwood Trees
Venice mallow,Hibiscus trionum L.,859,Forbs/Herbs
polar hawkweed,Hieracium atratum Fr.,2,Forbs/Herbs
meadow hawkweed,Hieracium caespitosum Dumort.,625,Forbs/Herbs
Canadian hawkweed,Hieracium canadense Michx.,16,Forbs/Herbs
hawkweeds,Hieracium L.,52,Forbs/Herbs
common hawkweed,Hieracium lachenalii K.C. Gmel.,66,Forbs/Herbs
smooth hawkweed,Hieracium laevigatum,6,Forbs/Herbs
kingdevil hawkweed,Hieracium piloselloides Vill.,292,Forbs/Herbs
yellow devil hawkweed,Hieracium x floribundum Wimmer & Grab. [caespitosum x lactucella],71,Forbs/Herbs
Barbados lily,Hippeastrum puniceum (Lam.) Kuntze,0,Forbs/Herbs
shortpod mustard,Hirschfeldia incana (L.) Lagrèze-Fossat,73,Forbs/Herbs
common velvetgrass,Holcus lanatus L.,777,Grass or Grasslike
German velvetgrass,Holcus mollis L.,39,Grass or Grasslike
foxtail barley,Hordeum jubatum L.,136,Grass or Grasslike
seaside barley,Hordeum marinum Huds.,124,Grass or Grasslike
mouse barley,Hordeum murinum L.,255,Grass or Grasslike
smooth barley,Hordeum murinum ssp. glaucum (Steud.) Tzvelev,120,Grass or Grasslike
leporinum barley,Hordeum murinum ssp. leporinum (Link) Arcang.,183,Grass or Grasslike
chameleon-plant,Houttuynia cordata Thunb.,21,Forbs/Herbs
hooked hair hops,Humulus japonicus Siebold & Zucc.,494,Vines
Mexican tulip poppy,Hunnemannia fumariifolia Sweet,2,Forbs/Herbs
Hispanic hyacinthoides,Hyacinthoides hispanica (Mill.) Rothm.,14,Forbs/Herbs
panicled hydrangea,Hydrangea paniculata Sieb.,37,Shrub or Subshrub
hydrilla,Hydrilla verticillata (L. f.) Royle,535,Aquatic Plants
European frog-bit,Hydrocharis morsus-ranae L.,172,Aquatic Plants
whorled pennywort,Hydrocotyle verticillata Thunb.,447,Forbs/Herbs
eastern waterleaf,Hydrophyllum virginianum L.,0,Forbs/Herbs
miramar weed,Hygrophila polysperma (Roxb.) T. Anders.,29,Aquatic Plants
West Indian marsh grass,Hymenachne amplexicaulis (Rudge) Nees,30,Grass or Grasslike
black henbane,Hyoscyamus niger L.,273,Forbs/Herbs
thatching grass,Hyparrhenia hirta (L.) Stapf,1,Grass or Grasslike
jaraguagrass,Hyparrhenia rufa (Nees) Stapf,22,Grass or Grasslike
sweet-amber,Hypericum androsaemum L.,2,Shrub or Subshrub
Aaron's beard,Hypericum calycinum L.,22,Shrub or Subshrub
Canary Island St. Johnswort,Hypericum canariense L.,8,Shrub or Subshrub
malfurada,Hypericum grandifolium Choisy,4,Forbs/Herbs
common St. Johnswort,Hypericum perforatum L.,1460,Forbs/Herbs
smooth cat's ear,Hypochaeris glabra L.,190,Forbs/Herbs
hairy cat's ear,Hypochaeris radicata L.,594,Forbs/Herbs
tropical bushmint,Hyptis mutabilis (Rich.) Briq.,0,Forbs/Herbs
English holly,Ilex aquifolium L.,73,Hardwood Trees
Chinese holly,Ilex cornuta Lindl. & Paxton,52,Hardwood Trees
Japanese holly,Ilex crenata Thunb.,40,Hardwood Trees
Himalayan balsam,Impatiens glandulifera Royle,193,Forbs/Herbs
Brazilian satintail,Imperata brasiliensis Trinius,19,Grass or Grasslike
California satintail,Imperata brevifolia Vasey,1,Grass or Grasslike
cogongrass,Imperata cylindrica (L.) Beauv.,320,Grass or Grasslike
anil de pasto,Indigofera suffruticosa P. Mill.,60,Shrub or Subshrub
elecampane,Inula helenium L.,343,Forbs/Herbs
moonflower,Ipomoea alba L.,48,Vines
swamp morning-glory,Ipomoea aquatica Forssk.,18,Aquatic Plants
gloria de la manana,Ipomoea carnea ssp. fistulosa (Mart. ex Choisy) D. Austin,20,Shrub or Subshrub
red morning-glory,Ipomoea coccinea L.,445,Vines
tievine,Ipomoea cordatotriloba var. cordatotriloba Dennst.,238,Vines
ivyleaf morning-glory,Ipomoea hederacea Jacq.,1021,Vines
blue morning-glory,Ipomoea indica (Burm. f.) Merr.,26,Vines
pitted morning-glory,Ipomoea lacunosa L.,801,Vines
tall morning-glory,Ipomoea purpurea (L.) Roth,950,Vines
"pale yellow iris, yellow flag iris",Iris pseudacorus L.,793,Aquatic Plants
Dyer's woad,Isatis tinctoria L.,174,Forbs/Herbs
tansy ragwort,Jacobaea vulgaris Gaertn.,157,Forbs/Herbs
smallflower morningglory,Jacquemontia tamnifolia (L.) Griseb.,284,Vines
Gold Coast jasmine,Jasminum dichotomum Vahl,11,Vines
Brazilian jasmine,Jasminum fluminense Vell.,17,Vines
star jasmine,Jasminum multiflorum (Burm. f.) Andr.,11,Vines
Arabian jasmine,Jasminum sambac (L.) Ait.,7,Vines
soft rush,Juncus effusus L.,0,Grass or Grasslike
swordleaf rush,Juncus ensifolius Wikstr.,315,Grass or Grasslike
broadleaf rush,Juncus planifolius R. Br.,8,Grass or Grasslike
eastern redcedar,Juniperus virginiana L.,2312,Conifer Trees
chandelier plant,Kalanchoe delagoensis Ecklon & Zeyh.,30,Forbs/Herbs
cathedral bells,Kalanchoe pinnata (Lam.) Pers.,26,Shrub or Subshrub
hybrid mother of millions,Kalanchoe x houghtonii D.B. Ward,6,Forbs/Herbs
castor aralia,Kalopanax septemlobus (Thunb.) Koidz,18,Hardwood Trees
Japanese rose,Kerria japonica (L.) DC.,48,Shrub or Subshrub
"bluebuttons, field scabious",Knautia arvensis (L.) Coult.,126,Forbs/Herbs
redhot poker,Kniphofia uvaria (L.) Oken,12,Forbs/Herbs
flamegold,Koelreuteria elegans ssp. formosana (Hayata) F.G. Mey.,36,Hardwood Trees
goldenrain tree,Koelreuteria paniculata Laxm.,147,Hardwood Trees
beautybush,Kolkwitzia amabilis Graebn.,3,Shrub or Subshrub
Korean lespedeza,Kummerowia stipulacea (Maxim.) Makino,702,Forbs/Herbs
Japanese clover,Kummerowia striata (Thunb.) Schindl.,825,Forbs/Herbs
burgan,Kunzea ericoides (A. Rich.) J. Thomp.,0,Hardwood Trees
green kyllinga,Kyllinga brevifolia Rottb.,165,Grass or Grasslike
white kyllinga,Kyllinga nemoralis (J.R. Forst. & G. Forst.) Dandy ex Hutch. & Dalziel,4,Grass or Grasslike
lettuce,Lactuca,0,Forbs/Herbs
tall lettuce,Lactuca canadensis L.,1690,Forbs/Herbs
willowleaf lettuce,Lactuca saligna L.,394,Forbs/Herbs
lettuce,Lactuca sativa L.,95,Forbs/Herbs
prickly lettuce,Lactuca serriola L.,1895,Forbs/Herbs
blue lettuce,Lactuca tatarica (L.) C.A. Mey.,542,Forbs/Herbs
crapemyrtle,Lagerstroemia indica L.,197,Hardwood Trees
henbit,Lamium amplexicaule L.,1893,Forbs/Herbs
yellow archangel,Lamium galeobdolon (L.) Crantz,135,Forbs/Herbs
spotted deadnettle,Lamium maculatum L.,155,Forbs/Herbs
purple deadnettle,Lamium purpureum L.,1099,Forbs/Herbs
purple deadnettle,Lamium purpureum var. purpureum L.,0,Forbs/Herbs
dotted duckmeat,Landoltia punctata (G.F.W. Mey.) D.H. Les & D.J. Crawford,280,Aquatic Plants
largeleaf lantana,Lantana camara L.,254,Shrub or Subshrub
weeping lantana,Lantana montevidensis (Spreng.) Briq.,55,Shrub or Subshrub
lantana,Lantana strigocamara R. W. Sanders,31,Shrub or Subshrub
nipplewort,Lapsana communis L.,321,Forbs/Herbs
everlasting peavine,Lathyrus latifolius L.,915,Vines
flat peavine,Lathyrus sylvestris L.,23,Forbs/Herbs
common duckweed,Lemna minor L.,1243,Aquatic Plants
lesser hawkbit,Leontodon saxatilis ssp. saxatilis L.,103,Forbs/Herbs
lesser hawkbit,Leontodon taraxacoides ssp. taraxacoides L.,6,Forbs/Herbs
motherwort,Leonurus cardiaca L.,1041,Forbs/Herbs
common motherwort,Leonurus cardiaca ssp. cardiaca L.,4,Forbs/Herbs
pepperweed,Lepidium,66,Forbs/Herbs
hairy whitetop,Lepidium appelianum Al-Shehbaz,184,Forbs/Herbs
field pepperweed,Lepidium campestre (L.) Ait. f.,990,Forbs/Herbs
"orbicular whitetop, lens-podded hoary cress",Lepidium chalepense L.,193,Forbs/Herbs
common pepperweed,Lepidium densiflorum var. densiflorum Schrad.,28,Forbs/Herbs
lesser swinecress,Lepidium didymum L.,385,Forbs/Herbs
hoary cress,Lepidium draba (L.) Desv,629,Forbs/Herbs
perennial pepperweed,Lepidium latifolium L.,345,Forbs/Herbs
clasping pepperweed,Lepidium perfoliatum L.,341,Forbs/Herbs
narrowleaf pepperweed,Lepidium ruderale L.,0,Forbs/Herbs
Virginia pepperweed,Lepidium virginicum L.,1980,Forbs/Herbs
hairy pepperweed,Lepidium virginicum var. pubescens (Greene) Thell.,0,Forbs/Herbs
Australian teatree,Leptospermum laevigatum (Sol. ex Gaertn.) F. Muell.,12,Shrub or Subshrub
broom teatree,Leptospermum scoparium J.R. & G. Forst.,8,Hardwood Trees
lepyrodiclis,Lepyrodiclis holosteoides (C.A. Mey.) Fenzl ex Fisch. & C.A. Mey.,3,Forbs/Herbs
shrubby lespedeza,Lespedeza bicolor Turcz.,698,Shrub or Subshrub
sericea lespedeza,Lespedeza cuneata (Dum.-Cours.) G. Don,1345,Shrub or Subshrub
Thunberg lespedeza,Lespedeza thunbergii (DC.) Nakai,64,Forbs/Herbs
white leadtree,Leucaena leucocephala (Lam.) de Wit,62,Hardwood Trees
oxeye daisy,Leucanthemum vulgare Lam.,1938,Forbs/Herbs
summer snowflake,Leucojum aestivum L.,82,Forbs/Herbs
Amur privet,Ligustrum amurense Carrière,33,Shrub or Subshrub
Japanese privet,Ligustrum japonicum Thunb.,626,Shrub or Subshrub
privet,Ligustrum L.,1270,Shrub or Subshrub
glossy privet,Ligustrum lucidum W.T. Aiton,230,Shrub or Subshrub
border privet,Ligustrum obtusifolium Sieb. & Zucc.,310,Shrub or Subshrub
Border Privet,Ligustrum obtusifolium var. obtusifolium Sieb.& Zucc.,1,Shrub or Subshrub
California privet,Ligustrum ovalifolium Hassk.,76,Shrub or Subshrub
waxyleaf privet,Ligustrum quihoui Carr.,41,Shrub or Subshrub
Chinese privet,Ligustrum sinense Lour.,1022,Shrub or Subshrub
European privet,Ligustrum vulgare L.,514,Shrub or Subshrub
American frogbit,Limnobium spongia (Bosc) L.C. Rich. ex Steud.,146,Aquatic Plants
limnophila,Limnophila sessiliflora (Vahl) Blume,24,Forbs/Herbs
European sea-lavender,Limonium duriusculum (Girard) Fourr.,8,Forbs/Herbs
Algerian sea lavender,Limonium ramosissimum ssp. provinciale (Pignatti) Pignatti,7,Forbs/Herbs
Dalmatian toadflax,Linaria dalmatica (L.) P. Mill.,461,Forbs/Herbs
yellow toadflax,Linaria vulgaris P. Mill.,1508,Forbs/Herbs
pale flax,Linum bienne Mill.,23,Forbs/Herbs
monkeygrass,Liriope muscari (Dcne.) Bailey,60,Forbs/Herbs
creeping liriope,Liriope spicata (Thunb.) Lour.,41,Forbs/Herbs
fountain palm,Livistona chinensis (Jacq.) R. Br. ex Mart.,16,Hardwood Trees
Chinese lobelia,Lobelia chinensis Lour.,2,Forbs/Herbs
sweet alyssum,Lobularia maritima (L.) Desv.,168,Forbs/Herbs
ryegrass,Lolium L.,1,Grass or Grasslike
annual ryegrass,Lolium multiflorum Lam.,56,Grass or Grasslike
perennial ryegrass,Lolium perenne L.,1622,Grass or Grasslike
